INFO 2025-05-17 03:18:06,454 autoreload 26390 123905640511296 Watching for file changes with StatReloader
WARNING 2025-05-17 03:18:13,006 log 26390 123905511519936 Not Found: /
WARNING 2025-05-17 03:18:13,010 basehttp 26390 123905511519936 "GET / HTTP/1.1" 404 2797
WARNING 2025-05-17 03:18:13,209 log 26390 123905511519936 Not Found: /favicon.ico
WARNING 2025-05-17 03:18:13,211 basehttp 26390 123905511519936 "GET /favicon.ico HTTP/1.1" 404 2848
INFO 2025-05-17 03:18:16,545 basehttp 26390 123905511519936 "GET /admin/ HTTP/1.1" 302 0
INFO 2025-05-17 03:18:16,815 basehttp 26390 123905511519936 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4181
INFO 2025-05-17 03:18:20,162 basehttp 26390 123905511519936 "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2025-05-17 03:18:20,196 basehttp 26390 123905511519936 "GET /admin/ HTTP/1.1" 200 11262
INFO 2025-05-17 03:18:22,307 basehttp 26390 123905511519936 "GET /admin/base/property/ HTTP/1.1" 200 14813
INFO 2025-05-17 03:18:22,514 basehttp 26390 123905511519936 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-05-17 03:18:28,038 basehttp 26390 123905511519936 "GET /admin/base/property/add/ HTTP/1.1" 200 46352
INFO 2025-05-17 03:18:28,082 basehttp 26390 123905511519936 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-05-17 03:18:45,272 basehttp 26390 123905511519936 "GET /admin/base/property/ HTTP/1.1" 200 14813
